,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
3150,,182955,17
3150,,182955,267
3150,,182955,122
3150,,182955,239
3150,,182955,9
3150,,182955,0
3150,,182955,2945
3150,,182955,7
3150,,182955,68
3150,,182955,8
3150,,182955,0
3150,,182955,121
3150,,182955,0
3150,,182955,76
3150,,182955,0
3150,,182955,6
3150,,182955,0
3150,,182955,31
3150,,182955,0
3150,,182955,30
3150,,182955,0
3150,,182955,131
3150,,182955,231
3150,,182955,18
3150,,182955,0
3150,,182955,0
3150,,182955,163
3150,,182955,37
3150,,182955,47
3150,,182955,34
3150,,182955,38
3150,,182955,11
3150,,182955,12
3150,,182955,0
3150,,182955,0
3150,,182955,40
3150,,182955,20
3150,,182955,68
3150,,182955,18
3150,,182955,8
3150,,182955,173
3150,,182955,101
3150,,182955,36
3150,,182955,0
3150,,182955,0
3150,,182955,39
3150,,182955,47
3150,,182955,31
3150,,182955,202
3150,,182955,70
3150,,182955,0
3150,,182955,73
3150,,182955,44
3150,,182955,62
3150,,182955,37
3150,,182955,1336
3150,,182955,45
3150,,182955,0
3150,,182955,45
3150,,182955,248
3150,,182955,20
3150,,182955,84
3150,,182955,17
3150,,182955,24
3150,,182955,68
3150,,182955,7
3150,,182955,0
3150,,182955,39
3150,,182955,152
3151,,49005,25
3151,,49005,0
3151,,49005,115
3151,,49005,269
3151,,49005,18
3151,,49005,0
3151,,49005,255
3151,,49005,0
3151,,49005,0
3151,,49005,17
3151,,49005,267
3151,,49005,122
3151,,49005,239
3151,,49005,9
3151,,49005,0
3151,,49005,2945
3151,,49005,7
3151,,49005,68
3151,,49005,8
3151,,49005,0
3151,,49005,121
3151,,49005,0
3151,,49005,76
3151,,49005,0
3151,,49005,6
3151,,49005,0
3151,,49005,31
3151,,49005,0
3151,,49005,30
3151,,49005,0
3151,,49005,131
3151,,49005,231
3151,,49005,18
3151,,49005,0
3151,,49005,0
3151,,49005,163
3151,,49005,37
3151,,49005,47
3151,,49005,34
3151,,49005,38
3151,,49005,11
3151,,49005,12
3151,,49005,0
3151,,49005,0
3151,,49005,40
3151,,49005,20
3151,,49005,68
3151,,49005,18
3151,,49005,8
3151,,49005,173
3151,,49005,101
3151,,49005,36
3151,,49005,0
3151,,49005,0
3151,,49005,39
3151,,49005,47
3151,,49005,31
3151,,49005,202
3151,,49005,70
3151,,49005,0
3151,,49005,73
3151,,49005,44
3151,,49005,62
3151,,49005,37
3151,,49005,1336
3151,,49005,45
3151,,49005,0
3151,,49005,45
3151,,49005,248
3151,,49005,20
3151,,49005,84
3151,,49005,17
3151,,49005,24
3151,,49005,68
3151,,49005,7
3151,,49005,0
3151,,49005,39
3151,,49005,152
3152,,131363,25
3152,,131363,0
3152,,131363,115
3152,,131363,269
3152,,131363,18
3152,,131363,0
3152,,131363,255
3152,,131363,0
3152,,131363,0
3152,,131363,17
3152,,131363,267
3152,,131363,122
3152,,131363,239
3152,,131363,9
3152,,131363,0
3152,,131363,2945
3152,,131363,7
3152,,131363,68
3152,,131363,8
3152,,131363,0
3152,,131363,121
3152,,131363,0
3152,,131363,76
3152,,131363,0
3152,,131363,6
3152,,131363,0
3152,,131363,31
3152,,131363,0
3152,,131363,30
3152,,131363,0
3152,,131363,131
3152,,131363,231
3152,,131363,18
3152,,131363,0
3152,,131363,0
3152,,131363,163
3152,,131363,37
3152,,131363,47
3152,,131363,34
3152,,131363,38
3152,,131363,11
3152,,131363,12
3152,,131363,0
3152,,131363,0
3152,,131363,40
3152,,131363,20
3152,,131363,68
3152,,131363,18
3152,,131363,8
3152,,131363,173
3152,,131363,101
3152,,131363,36
3152,,131363,0
3152,,131363,0
3152,,131363,39
3152,,131363,47
3152,,131363,31
3152,,131363,202
3152,,131363,70
3152,,131363,0
3152,,131363,73
3152,,131363,44
3152,,131363,62
3152,,131363,37
3152,,131363,1336
3152,,131363,45
3152,,131363,0
3152,,131363,45
3152,,131363,248
3152,,131363,20
3152,,131363,84
3152,,131363,17
3152,,131363,24
3152,,131363,68
3152,,131363,7
3152,,131363,0
3152,,131363,39
3152,,131363,152
3153,,32222,25
3153,,32222,0
3153,,32222,115
3153,,32222,269
3153,,32222,18
3153,,32222,0
3153,,32222,255
3153,,32222,0
3153,,32222,0
3153,,32222,17
3153,,32222,267
3153,,32222,122
3153,,32222,239
3153,,32222,9
3153,,32222,0
3153,,32222,2945
3153,,32222,7
3153,,32222,68
3153,,32222,8
3153,,32222,0
3153,,32222,121
3153,,32222,0
3153,,32222,76
3153,,32222,0
3153,,32222,6
3153,,32222,0
3153,,32222,31
3153,,32222,0
3153,,32222,30
3153,,32222,0
3153,,32222,131
3153,,32222,231
3153,,32222,18
3153,,32222,0
3153,,32222,0
3153,,32222,163
3153,,32222,37
3153,,32222,47
3153,,32222,34
3153,,32222,38
3153,,32222,11
3153,,32222,12
3153,,32222,0
3153,,32222,0
3153,,32222,40
3153,,32222,20
3153,,32222,68
3153,,32222,18
3153,,32222,8
3153,,32222,173
3153,,32222,101
3153,,32222,36
3153,,32222,0
3153,,32222,0
3153,,32222,39
3153,,32222,47
3153,,32222,31
3153,,32222,202
3153,,32222,70
3153,,32222,0
3153,,32222,73
3153,,32222,44
3153,,32222,62
3153,,32222,37
3153,,32222,1336
3153,,32222,45
3153,,32222,0
3153,,32222,45
3153,,32222,248
3153,,32222,20
3153,,32222,84
3153,,32222,17
3153,,32222,24
3153,,32222,68
3153,,32222,7
3153,,32222,0
3153,,32222,39
3153,,32222,152
3154,,46108,25
3154,,46108,0
3154,,46108,115
3154,,46108,269
3154,,46108,18
3154,,46108,0
3154,,46108,255
3154,,46108,0
3154,,46108,0
3154,,46108,17
3154,,46108,267
3154,,46108,122
3154,,46108,239
3154,,46108,9
3154,,46108,0
3154,,46108,2945
3154,,46108,7
3154,,46108,68
3154,,46108,8
3154,,46108,0
3154,,46108,121
3154,,46108,0
3154,,46108,76
3154,,46108,0
3154,,46108,6
3154,,46108,0
3154,,46108,31
3154,,46108,0
3154,,46108,30
3154,,46108,0
3154,,46108,131
3154,,46108,231
3154,,46108,18
3154,,46108,0
3154,,46108,0
3154,,46108,163
3154,,46108,37
3154,,46108,47
3154,,46108,34
3154,,46108,38
3154,,46108,11
3154,,46108,12
3154,,46108,0
3154,,46108,0
3154,,46108,40
3154,,46108,20
3154,,46108,68
3154,,46108,18
3154,,46108,8
3154,,46108,173
3154,,46108,101
3154,,46108,36
3154,,46108,0
3154,,46108,0
3154,,46108,39
3154,,46108,47
3154,,46108,31
3154,,46108,202
3154,,46108,70
3154,,46108,0
3154,,46108,73
3154,,46108,44
3154,,46108,62
3154,,46108,37
3154,,46108,1336
3154,,46108,45
3154,,46108,0
3154,,46108,45
3154,,46108,248
3154,,46108,20
3154,,46108,84
3154,,46108,17
3154,,46108,24
3154,,46108,68
3154,,46108,7
3154,,46108,0
3154,,46108,39
3154,,46108,152
3155,,157453,25
3155,,157453,0
3155,,157453,115
3155,,157453,269
3155,,157453,18
3155,,157453,0
3155,,157453,255
3155,,157453,0
3155,,157453,0
3155,,157453,17
3155,,157453,267
3155,,157453,122
3155,,157453,239
3155,,157453,9
3155,,157453,0
3155,,157453,2945
3155,,157453,7
3155,,157453,68
3155,,157453,8
3155,,157453,0
3155,,157453,121
3155,,157453,0
3155,,157453,76
3155,,157453,0
3155,,157453,6
3155,,157453,0
3155,,157453,31
3155,,157453,0
3155,,157453,30
3155,,157453,0
3155,,157453,131
3155,,157453,231
3155,,157453,18
3155,,157453,0
3155,,157453,0
3155,,157453,163
3155,,157453,37
3155,,157453,47
3155,,157453,34
3155,,157453,38
3155,,157453,11
3155,,157453,12
3155,,157453,0
3155,,157453,0
3155,,157453,40
3155,,157453,20
3155,,157453,68
3155,,157453,18
3155,,157453,8
3155,,157453,173
3155,,157453,101
3155,,157453,36
3155,,157453,0
3155,,157453,0
3155,,157453,39
3155,,157453,47
3155,,157453,31
3155,,157453,202
3155,,157453,70
3155,,157453,0
3155,,157453,73
3155,,157453,44
3155,,157453,62
3155,,157453,37
3155,,157453,1336
3155,,157453,45
3155,,157453,0
3155,,157453,45
3155,,157453,248
3155,,157453,20
3155,,157453,84
3155,,157453,17
3155,,157453,24
3155,,157453,68
3155,,157453,7
3155,,157453,0
3155,,157453,39
3155,,157453,152
3156,,24888,25
3156,,24888,0
3156,,24888,115
3156,,24888,269
3156,,24888,18
3156,,24888,0
3156,,24888,255
3156,,24888,0
3156,,24888,0
3156,,24888,17
3156,,24888,267
3156,,24888,122
3156,,24888,239
3156,,24888,9
3156,,24888,0
3156,,24888,2945
3156,,24888,7
3156,,24888,68
3156,,24888,8
3156,,24888,0
3156,,24888,121
3156,,24888,0
3156,,24888,76
3156,,24888,0
3156,,24888,6
3156,,24888,0
3156,,24888,31
3156,,24888,0
3156,,24888,30
3156,,24888,0
3156,,24888,131
3156,,24888,231
3156,,24888,18
3156,,24888,0
3156,,24888,0
3156,,24888,163
3156,,24888,37
3156,,24888,47
3156,,24888,34
3156,,24888,38
3156,,24888,11
3156,,24888,12
3156,,24888,0
3156,,24888,0
3156,,24888,40
3156,,24888,20
3156,,24888,68
3156,,24888,18
3156,,24888,8
3156,,24888,173
3156,,24888,101
3156,,24888,36
3156,,24888,0
3156,,24888,0
3156,,24888,39
3156,,24888,47
3156,,24888,31
3156,,24888,202
3156,,24888,70
3156,,24888,0
3156,,24888,73
3156,,24888,44
3156,,24888,62
3156,,24888,37
3156,,24888,1336
3156,,24888,45
3156,,24888,0
3156,,24888,45
3156,,24888,248
3156,,24888,20
3156,,24888,84
3156,,24888,17
3156,,24888,24
3156,,24888,68
3156,,24888,7
3156,,24888,0
3156,,24888,39
3156,,24888,152
3157,,44530,25
3157,,44530,0
3157,,44530,115
3157,,44530,269
3157,,44530,18
3157,,44530,0
3157,,44530,255
3157,,44530,0
3157,,44530,0
3157,,44530,17
3157,,44530,267
3157,,44530,122
3157,,44530,239
3157,,44530,9
3157,,44530,0
3157,,44530,2945
3157,,44530,7
3157,,44530,68
3157,,44530,8
3157,,44530,0
3157,,44530,121
3157,,44530,0
3157,,44530,76
3157,,44530,0
3157,,44530,6
3157,,44530,0
3157,,44530,31
3157,,44530,0
3157,,44530,30
3157,,44530,0
3157,,44530,131
3157,,44530,231
3157,,44530,18
3157,,44530,0
3157,,44530,0
3157,,44530,163
3157,,44530,37
3157,,44530,47
3157,,44530,34
3157,,44530,38
3157,,44530,11
3157,,44530,12
3157,,44530,0
3157,,44530,0
3157,,44530,40
3157,,44530,20
3157,,44530,68
3157,,44530,18
3157,,44530,8
3157,,44530,173
3157,,44530,101
3157,,44530,36
3157,,44530,0
3157,,44530,0
3157,,44530,39
3157,,44530,47
3157,,44530,31
3157,,44530,202
3157,,44530,70
3157,,44530,0
3157,,44530,73
3157,,44530,44
3157,,44530,62
3157,,44530,37
3157,,44530,1336
3157,,44530,45
3157,,44530,0
3157,,44530,45
3157,,44530,248
3157,,44530,20
3157,,44530,84
3157,,44530,17
3157,,44530,24
3157,,44530,68
3157,,44530,7
3157,,44530,0
3157,,44530,39
3157,,44530,152
3158,,11853,25
3158,,11853,0
3158,,11853,115
3158,,11853,269
3158,,11853,18
3158,,11853,0
3158,,11853,255
3158,,11853,0
3158,,11853,0
3158,,11853,17
3158,,11853,267
3158,,11853,122
3158,,11853,239
3158,,11853,9
3158,,11853,0
3158,,11853,2945
3158,,11853,7
3158,,11853,68
3158,,11853,8
3158,,11853,0
3158,,11853,121
3158,,11853,0
3158,,11853,76
3158,,11853,0
3158,,11853,6
3158,,11853,0
3158,,11853,31
3158,,11853,0
3158,,11853,30
3158,,11853,0
3158,,11853,131
3158,,11853,231
3158,,11853,18
3158,,11853,0
3158,,11853,0
3158,,11853,163
3158,,11853,37
3158,,11853,47
3158,,11853,34
3158,,11853,38
3158,,11853,11
3158,,11853,12
3158,,11853,0
3158,,11853,0
3158,,11853,40
3158,,11853,20
3158,,11853,68
3158,,11853,18
3158,,11853,8
3158,,11853,173
3158,,11853,101
3158,,11853,36
3158,,11853,0
3158,,11853,0
3158,,11853,39
3158,,11853,47
3158,,11853,31
3158,,11853,202
3158,,11853,70
3158,,11853,0
3158,,11853,73
3158,,11853,44
3158,,11853,62
3158,,11853,37
3158,,11853,1336
3158,,11853,45
3158,,11853,0
3158,,11853,45
3158,,11853,248
3158,,11853,20
3158,,11853,84
3158,,11853,17
3158,,11853,24
3158,,11853,68
3158,,11853,7
3158,,11853,0
3158,,11853,39
3158,,11853,152
3159,,16912,25
3159,,16912,0
3159,,16912,115
3159,,16912,269
3159,,16912,18
3159,,16912,0
3159,,16912,255
3159,,16912,0
3159,,16912,0
3159,,16912,17
3159,,16912,267
3159,,16912,122
3159,,16912,239
3159,,16912,9
3159,,16912,0
3159,,16912,2945
3159,,16912,7
3159,,16912,68
3159,,16912,8
3159,,16912,0
3159,,16912,121
3159,,16912,0
3159,,16912,76
3159,,16912,0
3159,,16912,6
3159,,16912,0
3159,,16912,31
3159,,16912,0
3159,,16912,30
3159,,16912,0
3159,,16912,131
3159,,16912,231
3159,,16912,18
3159,,16912,0
3159,,16912,0
3159,,16912,163
3159,,16912,37
3159,,16912,47
3159,,16912,34
3159,,16912,38
3159,,16912,11
3159,,16912,12
3159,,16912,0
3159,,16912,0
3159,,16912,40
3159,,16912,20
3159,,16912,68
3159,,16912,18
3159,,16912,8
3159,,16912,173
3159,,16912,101
3159,,16912,36
3159,,16912,0
3159,,16912,0
3159,,16912,39
3159,,16912,47
3159,,16912,31
3159,,16912,202
3159,,16912,70
3159,,16912,0
3159,,16912,73
3159,,16912,44
3159,,16912,62
3159,,16912,37
3159,,16912,1336
3159,,16912,45
3159,,16912,0
3159,,16912,45
3159,,16912,248
3159,,16912,20
3159,,16912,84
3159,,16912,17
3159,,16912,24
3159,,16912,68
3159,,16912,7
3159,,16912,0
3159,,16912,39
3159,,16912,152
3160,,40343,25
3160,,40343,0
3160,,40343,115
3160,,40343,269
3160,,40343,18
3160,,40343,0
3160,,40343,255
3160,,40343,0
3160,,40343,0
3160,,40343,17
3160,,40343,267
3160,,40343,122
3160,,40343,239
3160,,40343,9
3160,,40343,0
3160,,40343,2945
3160,,40343,7
3160,,40343,68
3160,,40343,8
3160,,40343,0
3160,,40343,121
3160,,40343,0
3160,,40343,76
3160,,40343,0
3160,,40343,6
3160,,40343,0
3160,,40343,31
3160,,40343,0
3160,,40343,30
3160,,40343,0
3160,,40343,131
3160,,40343,231
3160,,40343,18
3160,,40343,0
3160,,40343,0
3160,,40343,163
3160,,40343,37
3160,,40343,47
3160,,40343,34
3160,,40343,38
3160,,40343,11
3160,,40343,12
3160,,40343,0
3160,,40343,0
3160,,40343,40
3160,,40343,20
3160,,40343,68
3160,,40343,18
3160,,40343,8
3160,,40343,173
3160,,40343,101
3160,,40343,36
3160,,40343,0
3160,,40343,0
3160,,40343,39
3160,,40343,47
3160,,40343,31
3160,,40343,202
3160,,40343,70
3160,,40343,0
3160,,40343,73
3160,,40343,44
3160,,40343,62
3160,,40343,37
3160,,40343,1336
3160,,40343,45
3160,,40343,0
3160,,40343,45
3160,,40343,248
3160,,40343,20
3160,,40343,84
3160,,40343,17
3160,,40343,24
3160,,40343,68
3160,,40343,7
3160,,40343,0
3160,,40343,39
3160,,40343,152
3161,,39265,25
3161,,39265,0
3161,,39265,115
3161,,39265,269
3161,,39265,18
3161,,39265,0
3161,,39265,255
3161,,39265,0
3161,,39265,0
3161,,39265,17
3161,,39265,267
3161,,39265,122
3161,,39265,239
3161,,39265,9
3161,,39265,0
3161,,39265,2945
3161,,39265,7
3161,,39265,68
3161,,39265,8
3161,,39265,0
3161,,39265,121
3161,,39265,0
3161,,39265,76
3161,,39265,0
3161,,39265,6
3161,,39265,0
3161,,39265,31
3161,,39265,0
3161,,39265,30
3161,,39265,0
3161,,39265,131
3161,,39265,231
3161,,39265,18
3161,,39265,0
3161,,39265,0
3161,,39265,163
3161,,39265,37
3161,,39265,47
3161,,39265,34
3161,,39265,38
3161,,39265,11
3161,,39265,12
3161,,39265,0
3161,,39265,0
3161,,39265,40
3161,,39265,20
3161,,39265,68
3161,,39265,18
3161,,39265,8
3161,,39265,173
3161,,39265,101
3161,,39265,36
3161,,39265,0
3161,,39265,0
3161,,39265,39
3161,,39265,47
3161,,39265,31
3161,,39265,202
3161,,39265,70
3161,,39265,0
3161,,39265,73
3161,,39265,44
3161,,39265,62
3161,,39265,37
3161,,39265,1336
3161,,39265,45
3161,,39265,0
3161,,39265,45
3161,,39265,248
3161,,39265,20
3161,,39265,84
3161,,39265,17
3161,,39265,24
3161,,39265,68
3161,,39265,7
3161,,39265,0
3161,,39265,39
3161,,39265,152
3162,,19539,25
3162,,19539,0
3162,,19539,115
3162,,19539,269
3162,,19539,18
3162,,19539,0
3162,,19539,255
3162,,19539,0
3162,,19539,0
3162,,19539,17
3162,,19539,267
3162,,19539,122
3162,,19539,239
3162,,19539,9
3162,,19539,0
3162,,19539,2945
3162,,19539,7
3162,,19539,68
3162,,19539,8
3162,,19539,0
3162,,19539,121
3162,,19539,0
3162,,19539,76
3162,,19539,0
3162,,19539,6
3162,,19539,0
3162,,19539,31
3162,,19539,0
3162,,19539,30
3162,,19539,0
3162,,19539,131
3162,,19539,231
3162,,19539,18
3162,,19539,0
3162,,19539,0
3162,,19539,163
3162,,19539,37
3162,,19539,47
3162,,19539,34
3162,,19539,38
3162,,19539,11
3162,,19539,12
3162,,19539,0
3162,,19539,0
3162,,19539,40
3162,,19539,20
3162,,19539,68
3162,,19539,18
3162,,19539,8
3162,,19539,173
3162,,19539,101
3162,,19539,36
3162,,19539,0
3162,,19539,0
3162,,19539,39
3162,,19539,47
3162,,19539,31
3162,,19539,202
3162,,19539,70
3162,,19539,0
3162,,19539,73
3162,,19539,44
3162,,19539,62
3162,,19539,37
3162,,19539,1336
3162,,19539,45
3162,,19539,0
3162,,19539,45
3162,,19539,248
3162,,19539,20
3162,,19539,84
3162,,19539,17
3162,,19539,24
3162,,19539,68
3162,,19539,7
3162,,19539,0
3162,,19539,39
3162,,19539,152
3163,,34165,25
3163,,34165,0
3163,,34165,115
3163,,34165,269
3163,,34165,18
3163,,34165,0
3163,,34165,255
3163,,34165,0
3163,,34165,0
3163,,34165,17
3163,,34165,267
3163,,34165,122
3163,,34165,239
3163,,34165,9
3163,,34165,0
3163,,34165,2945
3163,,34165,7
3163,,34165,68
3163,,34165,8
3163,,34165,0
3163,,34165,121
3163,,34165,0
3163,,34165,76
3163,,34165,0
3163,,34165,6
3163,,34165,0
3163,,34165,31
3163,,34165,0
3163,,34165,30
3163,,34165,0
3163,,34165,131
3163,,34165,231
3163,,34165,18
3163,,34165,0
3163,,34165,0
3163,,34165,163
3163,,34165,37
3163,,34165,47
3163,,34165,34
3163,,34165,38
3163,,34165,11
3163,,34165,12
3163,,34165,0
3163,,34165,0
3163,,34165,40
3163,,34165,20
3163,,34165,68
3163,,34165,18
3163,,34165,8
3163,,34165,173
3163,,34165,101
3163,,34165,36
3163,,34165,0
3163,,34165,0
3163,,34165,39
3163,,34165,47
3163,,34165,31
3163,,34165,202
3163,,34165,70
3163,,34165,0
3163,,34165,73
3163,,34165,44
3163,,34165,62
3163,,34165,37
3163,,34165,1336
3163,,34165,45
3163,,34165,0
3163,,34165,45
3163,,34165,248
3163,,34165,20
3163,,34165,84
3163,,34165,17
3163,,34165,24
3163,,34165,68
3163,,34165,7
3163,,34165,0
3163,,34165,39
3163,,34165,152
3164,,1314,25
3164,,1314,0
3164,,1314,115
3164,,1314,269
3164,,1314,18
3164,,1314,0
3164,,1314,255
3164,,1314,0
3164,,1314,0
3164,,1314,17
3164,,1314,267
3164,,1314,122
3164,,1314,239
3164,,1314,9
3164,,1314,0
3164,,1314,2945
3164,,1314,7
3164,,1314,68
3164,,1314,8
3164,,1314,0
3164,,1314,121
3164,,1314,0
3164,,1314,76
3164,,1314,0
3164,,1314,6
3164,,1314,0
3164,,1314,31
3164,,1314,0
3164,,1314,30
3164,,1314,0
3164,,1314,131
3164,,1314,231
3164,,1314,18
3164,,1314,0
3164,,1314,0
3164,,1314,163
3164,,1314,37
3164,,1314,47
3164,,1314,34
3164,,1314,38
3164,,1314,11
3164,,1314,12
3164,,1314,0
3164,,1314,0
3164,,1314,40
3164,,1314,20
3164,,1314,68
3164,,1314,18
3164,,1314,8
3164,,1314,173
3164,,1314,101
3164,,1314,36
3164,,1314,0
3164,,1314,0
3164,,1314,39
3164,,1314,47
3164,,1314,31
3164,,1314,202
3164,,1314,70
3164,,1314,0
3164,,1314,73
3164,,1314,44
3164,,1314,62
3164,,1314,37
3164,,1314,1336
3164,,1314,45
3164,,1314,0
3164,,1314,45
3164,,1314,248
3164,,1314,20
3164,,1314,84
3164,,1314,17
3164,,1314,24
3164,,1314,68
3164,,1314,7
3164,,1314,0
3164,,1314,39
3164,,1314,152
3165,,37208,25
3165,,37208,0
3165,,37208,115
3165,,37208,269
3165,,37208,18
3165,,37208,0
3165,,37208,255
3165,,37208,0
3165,,37208,0
3165,,37208,17
3165,,37208,267
3165,,37208,122
3165,,37208,239
3165,,37208,9
3165,,37208,0
3165,,37208,2945
3165,,37208,7
3165,,37208,68
3165,,37208,8
3165,,37208,0
3165,,37208,121
3165,,37208,0
3165,,37208,76
3165,,37208,0
3165,,37208,6
3165,,37208,0
3165,,37208,31
3165,,37208,0
3165,,37208,30
3165,,37208,0
3165,,37208,131
3165,,37208,231
3165,,37208,18
3165,,37208,0
3165,,37208,0
3165,,37208,163
3165,,37208,37
3165,,37208,47
3165,,37208,34
3165,,37208,38
3165,,37208,11
3165,,37208,12
3165,,37208,0
3165,,37208,0
3165,,37208,40
3165,,37208,20
3165,,37208,68
3165,,37208,18
3165,,37208,8
3165,,37208,173
3165,,37208,101
3165,,37208,36
3165,,37208,0
3165,,37208,0
3165,,37208,39
3165,,37208,47
3165,,37208,31
3165,,37208,202
3165,,37208,70
3165,,37208,0
3165,,37208,73
3165,,37208,44
3165,,37208,62
3165,,37208,37
3165,,37208,1336
3165,,37208,45
3165,,37208,0
3165,,37208,45
3165,,37208,248
3165,,37208,20
3165,,37208,84
3165,,37208,17
3165,,37208,24
3165,,37208,68
3165,,37208,7
3165,,37208,0
3165,,37208,39
3165,,37208,152
3166,,32001,25
3166,,32001,0
3166,,32001,115
3166,,32001,269
3166,,32001,18
3166,,32001,0
3166,,32001,255
3166,,32001,0
3166,,32001,0
3166,,32001,17
3166,,32001,267
3166,,32001,122
3166,,32001,239
3166,,32001,9
3166,,32001,0
3166,,32001,2945
3166,,32001,7
3166,,32001,68
3166,,32001,8
3166,,32001,0
3166,,32001,121
3166,,32001,0
3166,,32001,76
3166,,32001,0
3166,,32001,6
3166,,32001,0
3166,,32001,31
3166,,32001,0
3166,,32001,30
3166,,32001,0
3166,,32001,131
3166,,32001,231
3166,,32001,18
3166,,32001,0
3166,,32001,0
3166,,32001,163
3166,,32001,37
3166,,32001,47
3166,,32001,34
3166,,32001,38
3166,,32001,11
3166,,32001,12
3166,,32001,0
3166,,32001,0
3166,,32001,40
3166,,32001,20
3166,,32001,68
3166,,32001,18
3166,,32001,8
3166,,32001,173
3166,,32001,101
3166,,32001,36
3166,,32001,0
3166,,32001,0
3166,,32001,39
3166,,32001,47
3166,,32001,31
3166,,32001,202
3166,,32001,70
3166,,32001,0
3166,,32001,73
3166,,32001,44
3166,,32001,62
3166,,32001,37
3166,,32001,1336
3166,,32001,45
3166,,32001,0
3166,,32001,45
3166,,32001,248
3166,,32001,20
3166,,32001,84
3166,,32001,17
3166,,32001,24
3166,,32001,68
3166,,32001,7
3166,,32001,0
3166,,32001,39
3166,,32001,152
3167,,11910,25
3167,,11910,0
3167,,11910,115
3167,,11910,269
3167,,11910,18
3167,,11910,0
3167,,11910,255
